WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/crk/miniconda3/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/crk/miniconda3/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 0.0 | Text-: 0.0 | Image+: 100.0 | Image-: 100.0:   0%|          | 0/3303 [00:04<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 100.0 | Image-: 100.0:   0%|          | 1/3303 [00:05<4:49:09,  5.25s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 1/3303 [00:09<4:49:09,  5.25s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 2/3303 [00:10<4:35:45,  5.01s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:14<4:35:45,  5.01s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:14<4:30:23,  4.92s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 3/3303 [00:19<4:30:23,  4.92s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 4/3303 [00:19<4:26:50,  4.85s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 4/3303 [00:24<4:26:50,  4.85s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 5/3303 [00:24<4:25:00,  4.82s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 5/3303 [00:28<4:25:00,  4.82s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 6/3303 [00:29<4:26:28,  4.85s/it]
Text+: 4.29 | Text-: 4.29 | Image+: 57.14 | Image-: 57.14:   0%|          | 6/3303 [00:33<4:26:28,  4.85s/it]
Text+: 4.29 | Text-: 4.29 | Image+: 57.14 | Image-: 57.14:   0%|          | 7/3303 [00:34<4:28:56,  4.90s/it]
Text+: 3.75 | Text-: 3.75 | Image+: 61.25 | Image-: 61.25:   0%|          | 7/3303 [00:38<4:28:56,  4.90s/it]
Text+: 3.75 | Text-: 3.75 | Image+: 61.25 | Image-: 61.25:   0%|          | 8/3303 [00:39<4:26:15,  4.85s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 54.44 | Image-: 54.44:   0%|          | 8/3303 [00:43<4:26:15,  4.85s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 54.44 | Image-: 54.44:   0%|          | 9/3303 [00:43<4:22:49,  4.79s/it]
Text+: 3.0 | Text-: 3.0 | Image+: 59.0 | Image-: 59.0:   0%|          | 9/3303 [00:48<4:22:49,  4.79s/it]    
Text+: 3.0 | Text-: 3.0 | Image+: 59.0 | Image-: 59.0:   0%|          | 10/3303 [00:48<4:22:41,  4.79s/it]
Text+: 2.73 | Text-: 2.73 | Image+: 62.73 | Image-: 62.73:   0%|          | 10/3303 [00:52<4:22:41,  4.79s/it]
Text+: 2.73 | Text-: 2.73 | Image+: 62.73 | Image-: 62.73:   0%|          | 11/3303 [00:53<4:23:49,  4.81s/it]
Text+: 2.5 | Text-: 2.5 | Image+: 65.83 | Image-: 65.83:   0%|          | 11/3303 [00:57<4:23:49,  4.81s/it]  
Text+: 2.5 | Text-: 2.5 | Image+: 65.83 | Image-: 65.83:   0%|          | 12/3303 [00:58<4:23:18,  4.80s/it]
Text+: 2.31 | Text-: 2.31 | Image+: 60.77 | Image-: 60.77:   0%|          | 12/3303 [01:02<4:23:18,  4.80s/it]
Text+: 2.31 | Text-: 2.31 | Image+: 60.77 | Image-: 60.77:   0%|          | 13/3303 [01:03<4:26:00,  4.85s/it]
Text+: 2.14 | Text-: 2.14 | Image+: 56.43 | Image-: 56.43:   0%|          | 13/3303 [01:07<4:26:00,  4.85s/it]
Text+: 2.14 | Text-: 2.14 | Image+: 56.43 | Image-: 56.43:   0%|          | 14/3303 [01:07<4:21:31,  4.77s/it]
Text+: 2.0 | Text-: 2.0 | Image+: 59.33 | Image-: 59.33:   0%|          | 14/3303 [01:11<4:21:31,  4.77s/it]  
Text+: 2.0 | Text-: 2.0 | Image+: 59.33 | Image-: 59.33:   0%|          | 15/3303 [01:11<4:04:55,  4.47s/it]
Text+: 1.88 | Text-: 1.88 | Image+: 55.62 | Image-: 55.62:   0%|          | 15/3303 [01:14<4:04:55,  4.47s/it]
Text+: 1.88 | Text-: 1.88 | Image+: 55.62 | Image-: 55.62:   0%|          | 16/3303 [01:15<3:55:42,  4.30s/it]
